
Em 2 Forks: 1000000000 | Tempo: 27.009996 s
Em 2 Forks: 1000000000 | Tempo: 32.966388 s
Em 2 Forks: 1000000000 | Tempo: 32.743225 s
Em 2 Forks: 1000000000 | Tempo: 32.786796 s
Em 2 Forks: 1000000000 | Tempo: 32.547865 s
Em 2 Forks: 1000000000 | Tempo: 32.851948 s
Em 2 Forks: 1000000000 | Tempo: 32.920619 s
Em 2 Forks: 1000000000 | Tempo: 31.070479 s
Em 2 Forks: 1000000000 | Tempo: 31.699605 s
Em 2 Forks: 1000000000 | Tempo: 33.764660 s
Em 4 Forks: 1000000000 | Tempo: 64.153438 s
Em 4 Forks: 1000000000 | Tempo: 60.626615 s
Em 4 Forks: 1000000000 | Tempo: 61.262593 s
Em 4 Forks: 1000000000 | Tempo: 59.809576 s
Em 4 Forks: 1000000000 | Tempo: 60.367293 s
Em 4 Forks: 1000000000 | Tempo: 58.385997 s
Em 4 Forks: 1000000000 | Tempo: 59.128565 s
Em 4 Forks: 1000000000 | Tempo: 54.123968 s
Em 4 Forks: 1000000000 | Tempo: 64.077295 s
Em 4 Forks: 1000000000 | Tempo: 70.662175 s
Em 8 Forks: 1000000000 | Tempo: 144.934483 s
Em 8 Forks: 1000000000 | Tempo: 144.025370 s
Em 8 Forks: 1000000000 | Tempo: 161.058704 s
Em 8 Forks: 1000000000 | Tempo: 141.893897 s
Em 8 Forks: 1000000000 | Tempo: 129.952049 s
Em 8 Forks: 1000000000 | Tempo: 140.354436 s
Em 8 Forks: 1000000000 | Tempo: 146.377928 s
Em 8 Forks: 1000000000 | Tempo: 93.660098 s
Em 8 Forks: 1000000000 | Tempo: 144.768620 s
Em 8 Forks: 1000000000 | Tempo: 146.167486 s
