
Em 2 Threads: 1000000000 | Tempo: 27.461708 s
Em 2 Threads: 1000000000 | Tempo: 25.051165 s
Em 2 Threads: 1000000000 | Tempo: 37.468224 s
Em 2 Threads: 1000000000 | Tempo: 23.279225 s
Em 2 Threads: 1000000000 | Tempo: 24.784929 s
Em 2 Threads: 1000000000 | Tempo: 26.164020 s
Em 2 Threads: 1000000000 | Tempo: 27.551069 s
Em 2 Threads: 1000000000 | Tempo: 28.107985 s
Em 2 Threads: 1000000000 | Tempo: 27.464723 s
Em 2 Threads: 1000000000 | Tempo: 27.543383 s
Em 4 Threads: 1000000000 | Tempo: 29.599808 s
Em 4 Threads: 1000000000 | Tempo: 30.098391 s
Em 4 Threads: 1000000000 | Tempo: 31.033967 s
Em 4 Threads: 1000000000 | Tempo: 29.771252 s
Em 4 Threads: 1000000000 | Tempo: 30.504390 s
Em 4 Threads: 1000000000 | Tempo: 30.405663 s
Em 4 Threads: 1000000000 | Tempo: 29.005760 s
Em 4 Threads: 1000000000 | Tempo: 30.989010 s
Em 4 Threads: 1000000000 | Tempo: 29.874442 s
Em 4 Threads: 1000000000 | Tempo: 29.191161 s
Em 8 Threads: 1000000000 | Tempo: 30.808248 s
Em 8 Threads: 1000000000 | Tempo: 29.858132 s
Em 8 Threads: 1000000000 | Tempo: 28.697644 s
Em 8 Threads: 1000000000 | Tempo: 31.291345 s
Em 8 Threads: 1000000000 | Tempo: 31.409616 s
Em 8 Threads: 1000000000 | Tempo: 29.677819 s
Em 8 Threads: 1000000000 | Tempo: 30.523613 s
Em 8 Threads: 1000000000 | Tempo: 31.699452 s
Em 8 Threads: 1000000000 | Tempo: 29.274346 s
Em 8 Threads: 1000000000 | Tempo: 29.889300 s
